Day Index,Users,New Users,,,,,,,
12/15/20,11,11,,,,,,,
12/16/20,12,10,,,,,,,
12/17/20,12,10,,,,,,,
12/18/20,9,4,,,,,,,
12/19/20,1,1,,,,,,,
12/20/20,9,8,,,,,,,
12/21/20,8,8,,,,,,,
12/22/20,12,11,,,,,,,
12/23/20,52,51,,,,,,,
12/24/20,7,6,,,,,,,
12/25/20,5,5,,,,,,,
12/26/20,8,8,,,,,,,
12/27/20,10,9,,,,,,,
12/28/20,16,15,,,,,,,
12/29/20,17,13,,,,,,,
12/30/20,20,16,,,,,,,
12/31/20,15,13,,,,,,,
1/1/21,11,7,,,,,,,
1/2/21,6,5,,,,,,,
1/3/21,13,11,,,,,,,
1/4/21,20,18,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,274,240,,,,,,,